user_id,event_name,event_timestamp,event_metadata
USR_0001,signup_flow_start,2024-04-12 00:00:00,
USR_0001,signup_verification_start,2024-04-12 00:00:34,
USR_0001,signup_verification_complete,2024-04-12 00:00:58,
USR_0001,profile_setup_complete,2024-04-12 00:07:58,
USR_0001,signup_completed,2024-04-12 00:08:19,
USR_0001,device_connected,2024-04-12 17:00:00,
USR_0001,readings_recorded,2024-04-13 08:17:00,device_sync
USR_0001,ai_insight_generated,2024-04-13 08:21:00,
USR_0001,app_open,2024-04-13 21:56:00,
USR_0001,dashboard_viewed,2024-04-13 21:58:00,
USR_0001,app_open,2024-04-15 11:20:00,
USR_0001,dashboard_viewed,2024-04-15 11:21:00,
USR_0001,food_logged,2024-04-15 11:27:00,
USR_0001,food_insight_generated,2024-04-15 11:27:18,
USR_0001,weight_logged,2024-04-15 11:33:00,manual
USR_0001,app_open,2024-04-16 12:15:00,
USR_0001,dashboard_viewed,2024-04-16 12:18:00,
USR_0001,weight_logged,2024-04-16 12:19:00,manual
USR_0001,app_open,2024-04-17 19:57:00,
USR_0001,weight_logged,2024-04-17 20:07:00,manual
USR_0001,food_logged,2024-04-17 20:17:00,
USR_0001,food_insight_generated,2024-04-17 20:17:26,
USR_0001,food_insight_viewed,2024-04-17 20:18:00,
USR_0001,app_open,2024-04-18 09:06:00,
USR_0001,dashboard_viewed,2024-04-18 09:10:00,
USR_0001,weight_logged,2024-04-18 09:10:00,manual
USR_0001,food_logged,2024-04-18 09:17:00,
USR_0001,food_insight_generated,2024-04-18 09:17:27,
USR_0001,readings_recorded,2024-04-18 09:39:00,device_sync
USR_0001,ai_insight_generated,2024-04-18 09:40:00,
USR_0001,app_open,2024-04-19 17:12:00,
USR_0001,dashboard_viewed,2024-04-19 17:16:00,
USR_0001,weight_logged,2024-04-19 17:24:00,manual
USR_0001,food_logged,2024-04-19 17:31:00,
USR_0001,food_insight_generated,2024-04-19 17:31:23,
USR_0001,food_insight_viewed,2024-04-19 17:33:00,
USR_0001,app_open,2024-04-20 20:14:00,
USR_0001,dashboard_viewed,2024-04-20 20:16:00,
USR_0001,weight_logged,2024-04-20 20:17:00,manual
USR_0001,food_logged,2024-04-20 20:27:00,
USR_0001,food_insight_generated,2024-04-20 20:27:20,
USR_0001,app_open,2024-04-21 07:37:00,
USR_0001,dashboard_viewed,2024-04-21 07:41:00,
USR_0001,weight_logged,2024-04-21 07:45:00,manual
USR_0001,education_module_1_completed,2024-04-22 00:00:00,
USR_0001,app_open,2024-04-22 19:06:00,
USR_0001,dashboard_viewed,2024-04-22 19:08:00,
USR_0001,food_logged,2024-04-22 19:17:00,
USR_0001,food_insight_generated,2024-04-22 19:17:08,
USR_0001,food_insight_viewed,2024-04-22 19:22:00,
USR_0001,app_open,2024-04-23 08:10:00,
USR_0001,dashboard_viewed,2024-04-23 08:13:00,
USR_0001,weight_logged,2024-04-23 08:20:00,manual
USR_0001,readings_recorded,2024-04-23 09:30:00,device_sync
USR_0001,ai_insight_generated,2024-04-23 09:34:00,
USR_0001,ai_insight_viewed,2024-04-23 11:14:00,
USR_0001,app_open,2024-04-24 18:24:00,
USR_0001,weight_logged,2024-04-24 18:34:00,manual
USR_0001,app_open,2024-04-25 08:35:00,
